"gene";"DE_log2_FC";"t.value";"p.value";"adj.p.value"
"HSD11B1-AS1";-0.799610039030005;-5.06410233192633;9.46500549845708e-06;6.80731751386207e-05
"HSD11B1L";0.214447441032752;1.45522576111185;0.153344758615059;0.226251423382899
"HSD11B2";-0.406052697053633;-1.88129058978147;0.0671628353759285;0.114345827094157
"HSD17B1";0.356429603832195;3.11602111002004;0.00337092793147734;0.00938387591524326
"HSD17B1-AS1";0.227910279269986;2.56944288660445;0.013985274796561;0.0310702527330229
"HSD17B10";0.202263426377984;2.23467371977371;0.0310423989987699;0.0599329607219538
"HSD17B11";-0.447109415712979;-3.6105751003093;0.000835668325738497;0.0029282218648489
"HSD17B12";0.136952012075067;1.36136974977006;0.180952642499976;0.25896944645949
"HSD17B13";-0.731905098868432;-1.53219385730838;0.133279999752799;0.201770722256057
"HSD17B14";-0.18258407968412;-1.17777731333952;0.245786924290039;0.33365166406729
"HSD17B2";0.474882613286787;1.36670940263127;0.179285446826346;0.257135420158324
"HSD17B3";-0.811881298262873;-3.54494697909224;0.00101062728947299;0.00343289674642677
"HSD17B4";-0.155023488255184;-1.86102173969445;0.0700398411223251;0.118398078560244
"HSD17B6";-2.18820853045565;-9.44642625048231;8.92961619924635e-12;1.06690200571782e-09
"HSD17B7";-0.207744598326321;-1.47026580544093;0.14924678533863;0.221304866193431
"HSD17B7P2";-0.97291137807596;-4.49034295025847;5.82887527648922e-05;0.000315277905169965
"HSD17B8";-0.316341496073607;-2.94088783231929;0.00539787029063551;0.0139747949467213
"HSD3B7";0.49028045073774;2.90261021640406;0.00597222123984525;0.0152285660246838
"HSD3BP4";-1.41062046293188;-6.05456767589786;3.83920948047686e-07;4.69137958029361e-06
"HSDL1";-0.191982357574713;-2.17938181714684;0.0351992617916986;0.0665049087160949
"HSDL2";-0.437270564226894;-5.28751415872741;4.6157543250381e-06;3.71474672176086e-05
"HSDL2-AS1";-0.234126867676176;-2.0580699587889;0.0460837016481266;0.0832253366473739
"HSF1";0.0234081320196533;0.263822229241274;0.793259943811709;0.843625654529912
"HSF2";0.0369007833070522;0.382761522427614;0.703905985591327;0.770366614452407
"HSF2BP";-0.40666850012259;-2.53731455619118;0.0151369888455306;0.0331424095109398
"HSF4";-0.743137346410094;-4.08507789732427;0.000203485677986065;0.000905911038324714
"HSFX1";-0.135584396803587;-0.751443511895929;0.4567474000174;0.549228787229902
"HSFX2";-0.209830343149746;-1.28113314754043;0.207462738762987;0.290219853236574
"HSFX3";-0.209778433003659;-1.66527296534504;0.103606872885049;0.16379179670563
"HSFX4";-0.101485957115374;-0.659592273828179;0.513263649359105;0.603410350453796
"HSH2D";0.340164860040067;1.90631718035906;0.0637502718341178;0.109285458868991
"HSP90AA1";0.566441726150485;4.72746083102702;2.76532627483336e-05;0.000168861246934731
"HSP90AB1";0.470114614400655;4.93589957657702;1.42607097503543e-05;9.62620148806669e-05
"HSP90B1";0.726585653425012;8.28178301170761;3.08641224168507e-10;1.51802380277969e-08
"HSP90B2P";0.582667708364666;5.56310419569276;1.8938773644381e-06;1.77733738264549e-05
"HSPA12A";0.49715747387823;3.37871986030771;0.00162498820867468;0.00507012252363447
"HSPA12A-AS1";0.751836906147723;3.63338748541226;0.000781978398562379;0.00276269858200306
"HSPA12B";-1.46931774390114;-8.53082966076399;1.42786804411888e-10;8.35148441696666e-09
"HSPA13";0.528046514302167;4.32668392580539;9.6965501154789e-05;0.000487553534035964
"HSPA14";-0.0234899295039969;-0.442333360207929;0.660610514993023;0.733254970249988
"HSPA1A";-0.0222624571351812;-0.119168974838184;0.905732952068866;0.932624390527779
"HSPA1B";-0.097945359470025;-0.486307040454872;0.629380936752291;0.706783916364295
"HSPA1L";-0.350402397002371;-2.65493931965685;0.0113004162686859;0.0260162030287906
"HSPA2";0.204229819547539;1.1715617010693;0.248246216477074;0.336272932572632
"HSPA2-AS1";-0.156962428039663;-1.01453960281747;0.31637175923648;0.409657227406011
"HSPA4";0.52048412621264;7.07410776520658;1.41307764163494e-08;3.26017198748632e-07
"HSPA4L";1.23677024079468;5.73135310144622;1.09738315281492e-06;1.12073944360866e-05
"HSPA5";0.771161030221665;8.10737354937871;5.31642575796337e-10;2.36247987326664e-08
"HSPA6";-0.127405475000599;-0.649283807576071;0.519834735462587;0.609329574799053
