gene;DE_log2_FC;std.error;t.value;abs_t.value;p.value;adj.p.value;gene_id;is_landmark;is_bing
AATK;-1,74169813446383;0,188055662571941;-9,26160962474367;9,26160962474367;1,63820560232426e-11;1,49271073188054e-09;9625;0;1
TPBG;1,17463601692074;0,126861060164065;9,2592322293509;9,2592322293509;1,64986525908892e-11;1,49488915160596e-09;7162;0;1
GSAP;-1,32049730538991;0,142748566954514;-9,25051181642115;9,25051181642115;1,69335860729737e-11;1,52572556527888e-09;54103;0;1
ROR2;1,98510543505906;0,215060240250784;9,23046227765864;9,23046227765864;1,7978185869375e-11;1,610845453896e-09;4920;0;1
STX11;-1,37348984156404;0,148943903750665;-9,22152439258801;9,22152439258801;1,84646881657127e-11;1,63625544360777e-09;8676;0;1
MGAT2;0,710678270666953;0,077089913792841;9,21882300422225;9,21882300422225;1,86143394922994e-11;1,64050310017379e-09;4247;0;1
HEPH;1,3059344427206;0,1418071770026;9,20922671422094;9,20922671422094;1,91559682842676e-11;1,67906226352537e-09;9843;0;1
CHPF;1,34069935313333;0,145709372059271;9,20118818841639;9,20118818841639;1,96219569808931e-11;1,71061039020456e-09;79586;0;1
LIFR;-1,78326859927505;0,194250300704487;-9,18026171803946;9,18026171803946;2,08896904178555e-11;1,78258691565701e-09;3977;0;1
INPP5K;-0,789966978549694;0,0861036265540578;-9,17460750684799;9,17460750684799;2,12462607833556e-11;1,79518502874718e-09;51763;0;1
COL5A1;2,05151358629495;0,223740796328525;9,16915296610751;9,16915296610751;2,15960862741733e-11;1,81407124703056e-09;1289;0;1
AHCY;0,6586304241769;0,0718967216955992;9,160785201938;9,160785201938;2,21441363905329e-11;1,84093109127069e-09;191;0;1
PDLIM4;2,33360166126094;0,255405322525586;9,13685603019165;9,13685603019165;2,37904821223934e-11;1,94767967345158e-09;8572;0;1
S100A4;-1,19123327004249;0,130494594112762;-9,12860243860468;9,12860243860468;2,43866745808984e-11;1,97642355598356e-09;6275;1;1
SHMT2;0,888453573784805;0,0973577658866864;9,12565695908497;9,12565695908497;2,46030869606528e-11;1,98399293250704e-09;6472;0;1
CILP;2,77284602114964;0,304127277930776;9,11738677311539;9,11738677311539;2,52211840341546e-11;2,00616017692197e-09;8483;0;1
LMO7;-1,35711543526309;0,148855628120017;-9,11699108997676;9,11699108997676;2,52511480602158e-11;2,00616017692197e-09;4008;0;1
WASF1;1,06546437626031;0,116926624246686;9,11224781459907;9,11224781459907;2,56131649779063e-11;2,024946690018e-09;8936;0;1
THY1;3,00278617958277;0,329595617343033;9,11051610391277;9,11051610391277;2,5746639862768e-11;2,0251171287466e-09;7070;0;1
MYO1E;0,971047023093876;0,106603390690179;9,10896939400388;9,10896939400388;2,58664514212425e-11;2,0251171287466e-09;4643;0;1
VCAN;2,17888774176967;0,239951101899912;9,08054901401755;9,08054901401755;2,81713885537838e-11;2,19491862123394e-09;1462;0;1
METTL8;0,558138408088299;0,0615142189965006;9,07332348834748;9,07332348834748;2,87898895660629e-11;2,23232374481472e-09;79828;0;1
FBN1;1,84689991278435;0,203775376629601;9,06341062071218;9,06341062071218;2,96608855665566e-11;2,28266101126532e-09;2200;0;1
NEDD4L;-1,03519275151882;0,114245843488341;-9,06109771621111;9,06109771621111;2,98679230912054e-11;2,28298513561593e-09;23327;0;1
ZBED2;-2,57795963859371;0,284651159834379;-9,05655764794237;9,05655764794237;3,02785922351826e-11;2,28946017498143e-09;79413;0;1
OLFM1;1,08032039415258;0,119336817685323;9,05269987172992;9,05269987172992;3,06320396161366e-11;2,29783039501884e-09;10439;0;1
RAMP2;-1,6218910809068;0,179369009186246;-9,04220349025132;9,04220349025132;3,16150259467066e-11;2,36058860402076e-09;10266;0;1
SLC1A4;1,31818028663434;0,145826834293887;9,03935337427533;9,03935337427533;3,18874165126587e-11;2,36398097548013e-09;6509;1;1
HMGB3;1,63646542571925;0,18138110685986;9,02224853542015;9,02224853542015;3,35728702957144e-11;2,46119660058764e-09;3149;0;1
MMP2;1,97168931414401;0,21866429182126;9,01696979292669;9,01696979292669;3,41110382654323e-11;2,48933405042938e-09;4313;1;1
EIF4G3;0,59745437890085;0,0662778431304273;9,01439079309096;9,01439079309096;3,43771378781402e-11;2,49745261125516e-09;8672;0;1
GPD1L;-0,836564881475834;0,0931527093137821;-8,98057488223869;8,98057488223869;3,80673040426449e-11;2,7046232581488e-09;23171;0;1
NINJ2;-1,00961010629413;0,112857489129613;-8,94588488615609;8,94588488615609;4,22708752375504e-11;2,9385546372035e-09;4815;0;1
GFPT1;0,638788814406504;0,0715140418952001;8,93235506591299;8,93235506591299;4,4035196178445e-11;3,04806714148481e-09;2673;1;1
