"gene";"DE_log2_FC";"std.error";"t.value";"p.value";"adj.p.value"
"ACKR3";-0,0591319011649595;0,0410758095794689;-1,43957968863785;0,150228761549947;0,165346057349627
"ACLY";-0,011063886068046;0,0233665745618766;-0,473491997671629;0,635942246913101;0,655006035493724
"ACMSD";-0,315402282530787;0,0326643521829064;-9,65585604651421;2,39640849092448e-21;6,38963796385006e-21
"ACO1";-0,0385276833662856;0,0175480594161135;-2,1955523658022;0,0283012901935395;0,0328895969810179
"ACO2";-0,0558116271404853;0,0200574928449921;-2,78258242801368;0,00547134750234531;0,00665867324937944
"ACOT1";-0,0159297992349107;0,0326249099992669;-0,488271055315358;0,625440158661183;0,644759996452464
"ACOT11";-0,372196909596361;0,0394256624521447;-9,44047319555222;1,65255275153879e-20;4,25374966201371e-20
"ACOT13";0,265130204631949;0,0169128737368676;15,6762362657509;7,3100606763806e-51;2,84812555443862e-49
"ACOT2";0,0387326656642266;0,0264761482042501;1,4629267582816;0,143729857387702;0,158482360014632
"ACOT4";-0,247089991996778;0,0352971010079779;-7,00029138202966;4,09478594577737e-12;7,47703598081963e-12
"ACOT6";-0,509578196131914;0,0495591830122505;-10,2822154272792;6,85543186610506e-24;2,03773614475976e-23
"ACOT7";-0,138794516666939;0,0400862369901278;-3,46239824658824;0,000552887737661694;0,00070984073279924
"ACOT8";-0,159338897169018;0,018811810240981;-8,47015226753152;6,56543647558983e-17;1,45713680078299e-16
"ACOT9";0,14461896855553;0,0157432490509839;9,18609418470021;1,5736781116607e-19;3,87846878427758e-19
"ACOX1";0,179811679914166;0,0168257478745369;10,6866976288336;1,32994316093009e-25;4,27798821230643e-25
"ACOX2";-0,145954668305836;0,0335903460796433;-4,34513737845318;1,50093983183951e-05;2,08036647670963e-05
"ACOX3";-0,370188880852349;0,0252000591167917;-14,690000493121;2,67312931106592e-45;4,5020252285439e-44
"ACP1";0,398784552658886;0,0264292932090657;15,0887331531853;1,58871216563288e-47;3,6390669943034e-46
"ACP2";-0,245914466368543;0,0279696372065587;-8,79219364028354;4,58419090144857e-18;1,06350616839019e-17
"ACP6";-0,0998825006352475;0,0294712035754528;-3,38915580354654;0,000722178707079;0,000921956762835196
"ACP7";-0,426539052916049;0,0649170117122534;-6,57052815072105;7,2520629671132e-11;1,25619120913003e-10
"ACSBG1";-0,0701238391069132;0,0254984506422219;-2,75012156977091;0,0060405400568151;0,00733330118265306
"ACSF2";-0,109027342113636;0,0351933276228339;-3,09795491014885;0,00199065585920404;0,00248256538195858
"ACSF3";-0,498430153316513;0,03676282597918;-13,5579934360539;2,94396090179526e-39;2,45370252029875e-38
"ACSL1";0,213231229254288;0,0395617755335897;5,38982961149571;8,37655638273437e-08;1,28130550623849e-07
"ACSL3";0,399634445460586;0,0327384643824488;12,2068781477372;1,63044678219411e-32;7,75963071151762e-32
"ACSL4";0,546638319231086;0,0396961988531043;13,7705456699751;2,26792440676858e-40;2,10938988513038e-39
"ACSL5";-0,244271386711421;0,0395943716068548;-6,16934621761068;9,1523886555138e-10;1,51880784230383e-09
"ACSL6";0,215132050944564;0,0349041861718451;6,1635028499274;9,49519208671858e-10;1,57441150808693e-09
"ACSL6-AS1";-0,431517259161643;0,0433705514079736;-9,9495451441807;1,59359538590413e-22;4,47239263395392e-22
"ACSM5";0,120577641448849;0,0485740848384554;2,48234509924084;0,0131784872698259;0,0156569042658583
"ACSS1";-0,252570194405523;0,0377672921714195;-6,68753781073709;3,36613488129144e-11;5,90933196903226e-11
"ACSS2";-0,182208458515307;0,0243490307396795;-7,48319144459324;1,33515524774033e-13;2,58553369378109e-13
"ACSS3";0,364684634544934;0,0283366043296935;12,8697366241158;9,45622038138729e-36;5,70174028623745e-35
"ACTA2";0,0548171308718288;0,0606414153187726;0,903955334546078;0,366187469454482;0,387655292282608
"ACTA2-AS1";0,0790649310922202;0,0522922808444895;1,51198092367302;0,130782668274881;0,144627319584757
"ACTB";0,070246116352359;0,0290394320536817;2,41899070968411;0,0157011967512683;0,0185660125093412
"ACTG1";0,0560096644719458;0,0287988073350144;1,9448605569109;0,0520087216589178;0,0593271724407884
"ACTG1P4";-0,384235361937147;0,0384045868472676;-10,0049341362589;9,53212364055521e-23;2,70170841646506e-22
"ACTL6A";0,339469814747202;0,0299571165739529;11,3318587891855;1,91573441287605e-28;7,18058703063275e-28
"ACTL6B";-0,178192505824156;0,0548282083238003;-3,25001511579223;0,00118375977665613;0,0014935475459112
"ACTMAP";-0,146608300300649;0,023177442094971;-6,32547369549722;3,47305174826317e-10;5,86439821381172e-10
"ACTN1";0,031003983484803;0,0424108034763704;0,731039757407028;0,464887512455097;0,486765978387791
"ACTN2";-0,222667988863045;0,0392703546252069;-5,67012931225528;1,75882132403947e-08;2,77398451320035e-08
"ACTN4";-0,404440777585362;0,0291541227050494;-13,8725072154311;6,82294916008101e-41;6,6938885554867e-40
"ACTR10";0,443607493217384;0,0365781432294633;12,1276657055698;3,86794690398328e-32;1,79826957688472e-31
"ACTR1A";-0,04616298558116;0,0158758827737802;-2,90774291035964;0,00370268936310983;0,00454937751547391
"ACTR1B";-0,223002483512144;0,027004850893422;-8,25786761023976;3,63010461326849e-16;7,82526588109738e-16
"ACTR2";0,538995113634827;0,0379567907949557;14,200228795593;1,18866400966223e-42;1,4297327962599e-41
"ACTR3";0,456281200511815;0,0275219906729766;16,5787862489115;4,0838648460769e-56;4,70331830992084e-54
"ACTR3B";0,0331857874640801;0,0227511976825076;1,45863914186791;0,144907845885849;0,159759624837323
"ACTR3C";-0,188713065234425;0,0251133798610985;-7,51444314856034;1,06389103988586e-13;2,07156019555011e-13
"ACTR5";-0,18341052122539;0,0199271391322926;-9,20405683965777;1,34458089495075e-19;3,32440328756155e-19
"ACTR6";0,624824268545864;0,042570436823072;14,677422060354;3,13335126109165e-45;5,19651309960679e-44
"ACTR8";0,11041472203889;0,0165752721084298;6,66141233257555;4,00214198543446e-11;7,00998971550717e-11
"ACVR1";-0,0816914281307367;0,0184758179830187;-4,42153241636284;1,0623056534619e-05;1,48274853207752e-05
"ACVR1B";-0,0414221165979734;0,020355938121824;-2,03489106471413;0,0420658959970379;0,0482794349688343
"ACVR1C";0,460515308745964;0,0462272871074325;9,96197998112508;1,42382546801661e-22;4,00560054795621e-22
"ACVR2A";0,345603717832571;0,0287258423100184;12,0311082300984;1,12537255241826e-31;5,08118031291481e-31
"ACVR2B";-0,0398294911871521;0,0180170584879793;-2,21065448689783;0,0272345900284788;0,0316906639899833
"ACVRL1";-0,588612121055086;0,0723419029030659;-8,13653079935973;9,45630494387032e-16;2,00215005610858e-15
"ACY1";-0,280504694211346;0,0305945258956294;-9,16846023920305;1,83682082911109e-19;4,51130508564368e-19
"ACYP1";0,0395014058063097;0,018408468754907;2,14582789759632;0,0320717979185036;0,0371388865828179
"ACYP2";0,0552477061041357;0,0149969605803236;3,68392687359746;0,000239152149597133;0,000312511586964527
"ADA";-0,313900978849802;0,0416705204820088;-7,53292676018597;9,28031757335418e-14;1,81091842798522e-13
"ADA2";-0,0306826278640102;0,0369634768621187;-0,83007959393167;0,406647331605116;0,428429191520308
"ADAL";0,165137539060645;0,0187973846682835;8,78513378189677;4,86275910530656e-18;1,12684824685576e-17
"ADAM10";0,283591936318754;0,0232281911404585;12,2089548257934;1,60303614379372e-32;7,63810609649637e-32
"ADAM11";-0,505377657567964;0,0467218614082762;-10,8167278086751;3,65822845423805e-26;1,21537961251981e-25
"ADAM12";-0,104647699076799;0,0396487200904477;-2,63937143085763;0,0084059423858735;0,0101152044995076
"ADAM15";-0,502451996305059;0,038168344921509;-13,1641022773799;3,13236048978344e-37;2,15156570799718e-36
"ADAM17";0,0949613056374847;0,0167375511398735;5,67354834909275;1,72447156978755e-08;2,72086262212362e-08
"ADAM19";-0,477898434978368;0,0314208803298251;-15,2095813345096;3,52956819843079e-48;8,76258348775059e-47
"ADAM20";0,0711106493360199;0,0306343429451703;2,32127222259327;0,0204272706733988;0,0239820163052892
"ADAM20P1";0,0742553453407087;0,0390173295837793;1,90313755792193;0,0572448905953695;0,0651222609832486
"ADAM21";0,0629172438868062;0,0350049512950486;1,79738127205181;0,0725087393825472;0,0818632464183129
